Loan_ID,Interest_Rate
10164310,1
10164311,1
10164312,3
10164313,2
10164314,1
10164315,1
10164316,3
10164317,3
10164318,1
10164319,3
10164320,2
10164321,3
10164322,1
10164323,2
10164324,2
10164325,3
10164326,2
10164327,3
10164328,2
10164329,1
10164330,1
10164331,3
10164332,2
10164333,2
10164334,2
10164335,2
10164336,2
10164337,2
10164338,3
10164339,2
10164340,2
10164341,2
10164342,3
10164343,1
10164344,2
10164345,2
10164346,2
10164347,2
10164348,1
10164349,2
10164350,2
10164351,2
10164352,1
10164353,3
10164354,3
10164355,2
10164356,1
10164357,3
10164358,1
10164359,3
10164360,2
10164361,2
10164362,2
10164363,3
10164364,2
10164365,2
10164366,1
10164367,2
10164368,1
10164369,3
10164370,2
10164371,2
10164372,2
10164373,3
10164374,2
10164375,1
10164376,2
10164377,2
10164378,2
10164379,2
10164380,3
10164381,3
10164382,3
10164383,3
10164384,3
10164385,2
10164386,2
10164387,2
10164388,3
10164389,1
10164390,3
10164391,2
10164392,1
10164393,3
10164394,2
10164395,2
10164396,1
10164397,3
10164398,3
10164399,3
10164400,3
10164401,2
10164402,1
10164403,3
10164404,3
10164405,1
10164406,2
10164407,1
10164408,2
10164409,2
10164410,2
10164411,3
10164412,1
10164413,2
10164414,2
10164415,3
10164416,1
10164417,2
10164418,1
10164419,1
10164420,2
10164421,1
10164422,3
10164423,3
10164424,3
10164425,2
10164426,3
10164427,3
10164428,3
10164429,3
10164430,2
10164431,3
10164432,1
10164433,3
10164434,2
10164435,2
10164436,3
10164437,3
10164438,3
10164439,3
10164440,3
10164441,3
10164442,3
10164443,2
10164444,2
10164445,3
10164446,3
10164447,2
10164448,3
10164449,1
10164450,3
10164451,1
10164452,3
10164453,3
10164454,2
10164455,2
10164456,1
10164457,2
10164458,3
10164459,2
10164460,2
10164461,2
10164462,2
10164463,2
10164464,1
10164465,3
10164466,3
10164467,2
10164468,3
10164469,3
10164470,1
10164471,3
10164472,2
10164473,1
10164474,1
10164475,2
10164476,2
10164477,3
10164478,3
10164479,3
10164480,3
10164481,2
10164482,3
10164483,2
10164484,2
10164485,3
10164486,3
10164487,3
10164488,3
10164489,2
10164490,2
10164491,2
10164492,3
10164493,3
10164494,3
10164495,3
10164496,1
10164497,3
10164498,1
10164499,1
10164500,2
10164501,1
10164502,3
10164503,1
10164504,3
10164505,1
10164506,2
10164507,2
10164508,1
10164509,3
10164510,1
10164511,1
10164512,2
10164513,2
10164514,1
10164515,3
10164516,3
10164517,1
10164518,2
10164519,2
10164520,2
10164521,3
10164522,1
10164523,2
10164524,3
10164525,3
10164526,1
10164527,3
10164528,3
10164529,3
10164530,2
10164531,1
10164532,2
10164533,3
10164534,3
10164535,1
10164536,2
10164537,3
10164538,2
10164539,1
10164540,3
10164541,3
10164542,3
10164543,3
10164544,1
10164545,2
10164546,1
10164547,3
10164548,2
10164549,2
10164550,3
10164551,2
10164552,2
10164553,1
10164554,1
10164555,1
10164556,2
10164557,2
10164558,3
10164559,2
10164560,3
10164561,1
10164562,3
10164563,2
10164564,3
10164565,2
10164566,3
10164567,2
10164568,2
10164569,3
10164570,3
10164571,1
10164572,1
10164573,3
10164574,3
10164575,3
10164576,2
10164577,3
10164578,3
10164579,3
10164580,2
10164581,2
10164582,2
10164583,1
10164584,3
10164585,2
10164586,3
10164587,1
10164588,2
10164589,2
10164590,3
10164591,1
10164592,3
10164593,1
10164594,2
10164595,2
10164596,3
10164597,3
10164598,3
10164599,1
10164600,1
10164601,2
10164602,3
10164603,1
10164604,1
10164605,1
10164606,2
10164607,3
10164608,3
10164609,2
10164610,2
10164611,1
10164612,2
10164613,1
10164614,2
10164615,3
10164616,2
10164617,2
10164618,2
10164619,3
10164620,2
10164621,2
10164622,3
10164623,2
10164624,2
10164625,2
10164626,3
10164627,1
10164628,1
10164629,2
10164630,3
10164631,2
10164632,2
10164633,3
10164634,3
10164635,2
10164636,2
10164637,1
10164638,2
10164639,1
10164640,2
10164641,3
10164642,2
10164643,1
10164644,3
10164645,2
10164646,3
10164647,2
10164648,2
10164649,3
10164650,3
10164651,3
10164652,2
10164653,3
10164654,1
10164655,2
10164656,2
10164657,3
10164658,2
10164659,2
10164660,2
10164661,2
10164662,1
10164663,3
10164664,2
10164665,2
10164666,2
10164667,2
10164668,2
10164669,1
10164670,2
10164671,3
10164672,1
10164673,2
10164674,2
10164675,2
10164676,2
10164677,2
10164678,3
